evento_id;_CarrierDelay;_WeatherDelay;_NASDelay
24334;214.0;1;44.00
24335;1640.0;7;15.00
24336;640.0;3;126.00
24337;2615.0;11;23.00
24338;1575.0;7;0.00
24339;308.0;2;176.00
24340;404.0;2;28.00
24341;944.0;4;66.00
24342;331.0;2;77.00
24343;859.0;4;27.00
24344;271.0;2;18.00
24345;377.0;2;85.00
24346;2677.0;11;29.00
24347;930.0;4;36.00
24348;762.0;4;74.00
24349;746.0;3;39.00
24350;1029.0;5;76.00
24351;436.0;2;262.00
24352;516.0;3;69.00
24353;1086.0;5;88.00
24354;1399.0;6;20.00
24355;821.0;4;35.00
24356;746.0;3;191.00
24357;259.0;2;92.00
24358;240.0;1;182.00
24359;1892.0;8;125.00
24360;337.0;2;106.00
24361;503.0;3;19.00
24362;444.0;2;136.00
24363;1770.0;8;109.00
24364;2556.0;11;4.00
24365;554.0;3;61.00
24366;4983.0;11;128.00
24367;1623.0;7;0.00
24368;1547.0;7;47.00
24369;980.0;4;7.00
24370;1814.0;8;15.00
24371;1749.0;7;40.00
24372;1599.0;7;32.00
24373;1747.0;7;160.00
24374;1892.0;8;21.00
24375;1087.0;5;51.00
24376;666.0;3;16.00
24377;528.0;3;20.00
24378;989.0;4;404.00
24379;1013.0;5;70.00
24380;109.0;1;33.00
24381;907.0;4;3.00
24382;1124.0;5;96.00
24383;1276.0;6;6.00
24384;425.0;2;36.00
24385;1024.0;5;29.00
24386;196.0;1;121.00
24387;630.0;3;2.00
24388;2496.0;10;2.00
24389;765.0;4;276.00
24390;1990.0;8;11.00
24391;630.0;3;45.00
24392;630.0;3;19.00
24393;1404.0;6;1.00
24394;1947.0;8;65.00
24395;425.0;2;17.00
24396;129.0;1;147.00
24397;1029.0;5;101.00
24398;297.0;2;63.00
24399;1535.0;7;22.00
24400;1535.0;7;41.00
24401;2615.0;11;47.00
24402;484.0;2;25.00
24403;957.0;4;136.00
24404;259.0;2;60.00
24405;1892.0;8;17.00
24406;306.0;2;10.00
24407;1589.0;7;22.00
24408;1535.0;7;40.00
24409;1024.0;5;49.00
24410;2218.0;9;15.00
24411;931.0;4;71.00
24412;874.0;4;25.00
24413;907.0;4;2.00
24414;271.0;2;66.00
24415;1416.0;6;113.00
24416;2504.0;11;9.00
24417;1993.0;8;25.00
24418;1050.0;5;4.00
24419;761.0;4;126.00
24420;774.0;4;398.00
24421;834.0;4;121.00
24422;1590.0;7;37.00
24423;1517.0;7;169.00
24424;453.0;2;74.00
24425;453.0;2;7.00
24426;515.0;3;25.00
24427;930.0;4;332.00
24428;1039.0;5;1.00
24429;872.0;4;36.00
24430;1572.0;7;92.00
24431;2218.0;9;14.00
24432;1426.0;6;23.00
24433;546.0;3;73.00
24434;151.0;1;32.00
24435;1747.0;7;7.00
24436;1298.0;6;19.00
24437;666.0;3;54.00
24438;749.0;3;416.00
24439;226.0;1;78.00
24440;214.0;1;59.00
24441;457.0;2;41.00
24442;2182.0;9;13.00
24443;1399.0;6;6.00
24444;726.0;3;19.00
24445;1107.0;5;202.00
24446;762.0;4;47.00
24447;726.0;3;9.00
24448;695.0;3;33.00
24449;1892.0;8;1.00
